Nome da rua;Freguesia;Código
Rua CristóvÃo de Castro;COVILHÃ E CANHOSO;487
Rua da Alegria;COVILHÃ E CANHOSO;488
Rua da Amoreira;COVILHÃ E CANHOSO;489
Rua da Associação;COVILHÃ E CANHOSO;490
Rua da Calçada de Santo André;COVILHÃ E CANHOSO;491
Rua da Calcada de São Martinho;COVILHÃ E CANHOSO;492
Rua da Calcada Fonte Lameiro;COVILHÃ E CANHOSO;493
Rua da Calva;COVILHÃ E CANHOSO;494
Rua da Carreira de Tiro;COVILHÃ E CANHOSO;495
Rua da Corredoura;COVILHÃ E CANHOSO;496
Rua da Escola;COVILHÃ E CANHOSO;497
Rua da Estrela;COVILHÃ E CANHOSO;498
Rua da Igreja;COVILHÃ E CANHOSO;499
Rua da Industria;COVILHÃ E CANHOSO;500
Rua da Madalena;COVILHÃ E CANHOSO;501
Rua da Misericórdia;COVILHÃ E CANHOSO;502
Rua da Nave;COVILHÃ E CANHOSO;503
Rua da Quinta da Tapada;COVILHÃ E CANHOSO;504
Rua da Ramalha;COVILHÃ E CANHOSO;505
Rua da Saudade;COVILHÃ E CANHOSO;506
Rua da Tapada;COVILHÃ E CANHOSO;507
Rua da Torre;COVILHÃ E CANHOSO;508
Rua da Urbanização da Quinta do Pinheiro;COVILHÃ E CANHOSO;509
Rua da Urbanização do Ribeiro Negro;COVILHÃ E CANHOSO;510
Rua da Urbanização Ribeira de Folandres;COVILHÃ E CANHOSO;511
Rua da Urbanização Ribeira de Folandres Transve;COVILHÃ E CANHOSO;512
Rua das Almas;COVILHÃ E CANHOSO;513
Rua das Amoreiras;COVILHÃ E CANHOSO;514
Rua das Figueiras;COVILHÃ E CANHOSO;515
Rua das Flores;COVILHÃ E CANHOSO;516
Rua das Lajes;COVILHÃ E CANHOSO;517
Rua das Laranjeiras;COVILHÃ E CANHOSO;518
Rua das Oliveiras;COVILHÃ E CANHOSO;519
Rua das Pereiras;COVILHÃ E CANHOSO;520
Rua das Portas do Sol;COVILHÃ E CANHOSO;521
Rua das Rosas;COVILHÃ E CANHOSO;522
Rua das Tílias;COVILHÃ E CANHOSO;523
Rua de Acesso à Estação;COVILHÃ E CANHOSO;524
Rua de Olivença;COVILHÃ E CANHOSO;525
Rua de S. Francisco Alvares;COVILHÃ E CANHOSO;526
Rua de São João de Deus;COVILHÃ E CANHOSO;527
Rua de São José;COVILHÃ E CANHOSO;528
Rua de São Salvado;COVILHÃ E CANHOSO;529
Rua de São Tiago;COVILHÃ E CANHOSO;530
Rua de Timor;COVILHÃ E CANHOSO;531
Rua Diamantino Alves da Costa;COVILHÃ E CANHOSO;532
Rua do Bairro da Nossa Senhora da Conceição;COVILHÃ E CANHOSO;533
Rua do Bairro dos Caldeirões;COVILHÃ E CANHOSO;534
Rua do Bairro dos Penedos Altos;COVILHÃ E CANHOSO;535
Rua do Barbacã;COVILHÃ E CANHOSO;536
Rua do Castelo;COVILHÃ E CANHOSO;537
Rua do Cotovelo;COVILHÃ E CANHOSO;538
Rua do Forno;COVILHÃ E CANHOSO;539
Rua do Grupo Desportivo da Mata;COVILHÃ E CANHOSO;540
Rua do Grupo Recriativo Refugiense;COVILHÃ E CANHOSO;541
Rua do Hospital Velho;COVILHÃ E CANHOSO;542
Rua do Jardim;COVILHÃ E CANHOSO;543
Rua do Loteamento do Polito;COVILHÃ E CANHOSO;544
Rua do Meio;COVILHÃ E CANHOSO;545
Rua do Norte;COVILHÃ E CANHOSO;546
Rua do Operário;COVILHÃ E CANHOSO;547
Rua do Padre Américo;COVILHÃ E CANHOSO;548
Rua do Padre Pita;COVILHÃ E CANHOSO;549
Rua do Parque Industrial do Canhoso;COVILHÃ E CANHOSO;550
Rua do Pião;COVILHÃ E CANHOSO;551
Rua do Pinho Manso;COVILHÃ E CANHOSO;552
Rua do Pisão Novo;COVILHÃ E CANHOSO;553
Rua do Ramal da Estação;COVILHÃ E CANHOSO;554
Rua do Rodrigo;COVILHÃ E CANHOSO;555
Rua do Saco;COVILHÃ E CANHOSO;556
Rua do Serrado;COVILHÃ E CANHOSO;557
Rua do Sitio da Quinta dos Lagoeiros;COVILHÃ E CANHOSO;558
Rua Dom Sancho Primeiro;COVILHÃ E CANHOSO;559
Rua dos Piornos;COVILHÃ E CANHOSO;560
Rua dos Abrunheiros;COVILHÃ E CANHOSO;561
Rua dos Bombeiros Sem Saída;COVILHÃ E CANHOSO;562
Rua dos Cântaros;COVILHÃ E CANHOSO;563
Rua dos Carqueijais;COVILHÃ E CANHOSO;564
Rua dos Castanheiros;COVILHÃ E CANHOSO;565
Rua dos Cedros;COVILHÃ E CANHOSO;566
Rua dos Combatentes da Grande Guerra;COVILHÃ E CANHOSO;567
Rua dos Namorados;COVILHÃ E CANHOSO;568
Rua dos Pessegueiros;COVILHÃ E CANHOSO;569
Rua dos Piornos;COVILHÃ E CANHOSO;570
Rua dos Plátanos;COVILHÃ E CANHOSO;571
Rua Doutor Alberto Rato;COVILHÃ E CANHOSO;572
Rua Doutor Almeida Eusébio;COVILHÃ E CANHOSO;573
Rua Doutor António Plácido da Costa;COVILHÃ E CANHOSO;574
Rua Doutor Guilherme Raposo de Moura;COVILHÃ E CANHOSO;575
Rua Doutor José Mendes de Matos;COVILHÃ E CANHOSO;576
Rua Doutor José Valério da Cruz;COVILHÃ E CANHOSO;577
Rua Doutor Júlio Maria da Costa;COVILHÃ E CANHOSO;578
Rua Doutor Oliveira Monteiro;COVILHÃ E CANHOSO;579
Rua Dr. Manuel Castro Martins;COVILHÃ E CANHOSO;580
Rua Fernando Henriques Cruz;COVILHÃ E CANHOSO;581
Rua Fernando Rodrigues Taborda;COVILHÃ E CANHOSO;582
Rua Fernão Penteado;COVILHÃ E CANHOSO;583
Rua Ferreira de Castro;COVILHÃ E CANHOSO;584
Rua Formosa;COVILHÃ E CANHOSO;585
Rua General Humberto Delgado;COVILHÃ E CANHOSO;586
Rua Ginásio Clube;COVILHÃ E CANHOSO;587
Rua Gregório Geraldes;COVILHÃ E CANHOSO;588
Rua Grupo Instrução e Recreio;COVILHÃ E CANHOSO;589
Rua Grupo Refugiense;COVILHÃ E CANHOSO;590
Rua Irmãos Bonina;COVILHÃ E CANHOSO;591
Rua João Alves da Silva;COVILHÃ E CANHOSO;592
Rua João Batista Roseta;COVILHÃ E CANHOSO;593
Rua João Mendes;COVILHÃ E CANHOSO;594
Rua Joaquim Pereira Espiga;COVILHÃ E CANHOSO;595
Rua Jornal da Covilhã;COVILHÃ E CANHOSO;596
Rua José Caetano Júnior;COVILHÃ E CANHOSO;597
Rua José Caetano Júnior;COVILHÃ E CANHOSO;598
Rua José Espiga;COVILHÃ E CANHOSO;599
Rua José Ramalho;COVILHÃ E CANHOSO;600
Rua Manuel Alçada Padez;COVILHÃ E CANHOSO;601
Rua Marquês de Ávila e Bolama;COVILHÃ E CANHOSO;602
Rua Marquês de Pombal;COVILHÃ E CANHOSO;603
Rua Mateus Fernandes;COVILHÃ E CANHOSO;604
Rua Morais do Convento;COVILHÃ E CANHOSO;605
Rua Nogueira dos Frades;COVILHÃ E CANHOSO;606
Rua Nova;COVILHÃ E CANHOSO;607
Rua Nuno Tavares Pereira;COVILHÃ E CANHOSO;608
Rua Padre Américo;COVILHÃ E CANHOSO;609
Rua Padre Martinho;COVILHÃ E CANHOSO;610
Rua Pedro Tavares Cabral;COVILHÃ E CANHOSO;611
Rua Pedro Alves;COVILHÃ E CANHOSO;612
Rua Peso da LÃ;COVILHÃ E CANHOSO;613
Rua Primeiro de Dezembro;COVILHÃ E CANHOSO;614
Rua Primeiro de Maio;COVILHÃ E CANHOSO;615
Rua Prof. António Esteves Lopes;COVILHÃ E CANHOSO;616
Rua Ruy Faleiro;COVILHÃ E CANHOSO;617
Rua S. João de Deus;COVILHÃ E CANHOSO;618
Rua Senhora da Paciência;COVILHÃ E CANHOSO;619
Rua Sítio do Pinho do Gaiteiro;COVILHÃ E CANHOSO;620
Rua Vasco da Gama;COVILHÃ E CANHOSO;621
Rua Viriato;COVILHÃ E CANHOSO;622
Rua Visconde da Coriscada;COVILHÃ E CANHOSO;623
Rua Vitoria de Santo António;COVILHÃ E CANHOSO;624
Rua Zeca Afonso;COVILHÃ E CANHOSO;625
Segurança Social;COVILHÃ E CANHOSO;626
Trajeto pedonal;COVILHÃ E CANHOSO;627
Transversal a Rua Conde da Covilhã;COVILHÃ E CANHOSO;628
Transversal a Rua Conde José Calheiros;COVILHÃ E CANHOSO;629
Transversal a Rua Marquês de Ávila e Bolama;COVILHÃ E CANHOSO;630
Transversal a Rua Viriato;COVILHÃ E CANHOSO;631
Transversal a Rua Viriato 2;COVILHÃ E CANHOSO;632
Travessa da Alegria;COVILHÃ E CANHOSO;633
Travessa da Calcada Romana;COVILHÃ E CANHOSO;634
Travessa da Calva;COVILHÃ E CANHOSO;635
Travessa da Escadaria;COVILHÃ E CANHOSO;636
Travessa da Madalena;COVILHÃ E CANHOSO;637
Travessa da Palmatoria;COVILHÃ E CANHOSO;638
Travessa da Quintinha;COVILHÃ E CANHOSO;639
Travessa da Rua da Olivosa;COVILHÃ E CANHOSO;640
Travessa da Senhora da Paciência;COVILHÃ E CANHOSO;641
Travessa da Trapa;COVILHÃ E CANHOSO;642
Travessa de Santa Marinha;COVILHÃ E CANHOSO;643
Travessa de Santa Marta;COVILHÃ E CANHOSO;644
Travessa de Santo Agostinho;COVILHÃ E CANHOSO;645
Travessa de Santo António;COVILHÃ E CANHOSO;646
Travessa de São Bartolomeu;COVILHÃ E CANHOSO;647
Travessa de São José;COVILHÃ E CANHOSO;648
Travessa de São Tiago;COVILHÃ E CANHOSO;649
Travessa do Forno;COVILHÃ E CANHOSO;650
Travessa do Peixe;COVILHÃ E CANHOSO;651
Travessa do Raimundo;COVILHÃ E CANHOSO;652
Travessa do Ribeiro Flandres;COVILHÃ E CANHOSO;653
Travessa do Tinte;COVILHÃ E CANHOSO;654
Travessa Dona Joaquina;COVILHÃ E CANHOSO;655
Travessa dos Compadres;COVILHÃ E CANHOSO;656
Travessa Lanofabril;COVILHÃ E CANHOSO;657
Travessa Primeira da Rua das Amoreiras;COVILHÃ E CANHOSO;658
Travessa Primeira da Rua do Rodrigo;COVILHÃ E CANHOSO;659
Travessa Viriato;COVILHÃ E CANHOSO;660
UBI- Faculdade de Ciências da Saúde;COVILHÃ E CANHOSO;661
Viela do Raimundo;COVILHÃ E CANHOSO;662
Avenida Cidade Rio de Janeiro;COVILHÃ E CANHOSO;663
Acesso a Estacionamento/ Garagens;DOMINGUIZO;664
Acesso a propriedade agrícola/florestal;DOMINGUIZO;665
Avenida Almirante Américo Tomas;DOMINGUIZO;666
Avenida Primeiro de Maio;DOMINGUIZO;667
Becos da Bica;DOMINGUIZO;668
Estrada Municipal 513;DOMINGUIZO;669
Estrada Nacional 346;DOMINGUIZO;670
Largo do Espirito Santo;DOMINGUIZO;671
Rua da Bica;DOMINGUIZO;672
Rua da Eira do Jardim;DOMINGUIZO;673
Rua da Eira Velha;DOMINGUIZO;674
Rua da Fonte Velha;DOMINGUIZO;675
Rua da Quinta da Vila da Castanheira;DOMINGUIZO;676
Rua da Quinta das Sesmarias;DOMINGUIZO;677
Rua da Travessa da Fonte Velha;DOMINGUIZO;678
Rua Direita;DOMINGUIZO;679
Rua do Bairro dos Marinheiros;DOMINGUIZO;680
Rua do Cabeço;DOMINGUIZO;681
Rua do Cardal;DOMINGUIZO;682
Rua do Casainho;DOMINGUIZO;683
Rua do Casal;DOMINGUIZO;684
Rua do Cemitério;DOMINGUIZO;685
Rua do Cimo do Povo;DOMINGUIZO;686
Rua do Pinho Manso;DOMINGUIZO;687
Rua Eira do Jardim;DOMINGUIZO;688
Travessa da Amoreira;DOMINGUIZO;689
Travessa da Laurita;DOMINGUIZO;690
Travessa do Cimo do Povo;DOMINGUIZO;691
Travessa do Pinho Manso;DOMINGUIZO;692
Acesso a propriedade agrícola/florestal;ERADA;693
EM 510;ERADA;694
Estrada Nacional 230;ERADA;695
Rua A;ERADA;696
Rua Almeida Garrett;ERADA;697
Rua B;ERADA;698
Rua C;ERADA;699
Rua D;ERADA;700
Rua da Carreira;ERADA;701
Rua da Eira;ERADA;702
Rua da Escola;ERADA;703
Rua da Estrada;ERADA;704
Rua da Fonte da Dorna;ERADA;705
Rua da Fonte Nova;ERADA;706
Rua da Guadiana;ERADA;707
Rua da Junta da Freguesia;ERADA;708
Rua da Mina;ERADA;709
Rua da Praça;ERADA;710
Rua da Razinha;ERADA;711
Rua da Roseira;ERADA;712
Rua da Senhora dos Milagres;ERADA;713
Rua da Valada;ERADA;714
Rua da Vinha;ERADA;715
Rua das Aradinhas;ERADA;716
Rua das Oliveiras;ERADA;717
Rua de Santo António;ERADA;718
Rua de São António;ERADA;719
Rua de São José;ERADA;720
Rua de São Pedro;ERADA;721
Rua de São Sebastião;ERADA;722
Rua Direita;ERADA;723
Rua do Fundo do Povo;ERADA;724
Rua do Galvão;ERADA;725
Rua do Jogo da Bola;ERADA;726
Rua do Lameiro do Mato;ERADA;727
Rua do Outeiro;ERADA;728
Rua do Santo António;ERADA;729
Rua do Terreiro;ERADA;730
Rua do Torgal;ERADA;731
Rua E;ERADA;732
Rua Engenheiro Vicente da Costa Borgues Terenas;ERADA;733
Rua F;ERADA;734
Rua G;ERADA;735
Rua Nova;ERADA;736
Rua Principal Carlos Pinto;ERADA;737
Travessa da Rua de Santo António;ERADA;738
Travessa da Senhora dos Milagres;ERADA;739
Travessa do Fundo do Povo;ERADA;740
A23 - Autoestrada da Beira Interior;FERRO;741
Acesso a propriedade agrícola/florestal;FERRO;742
Acesso Estrada Nacional 18;FERRO;743
Avenida Dona Laura Maria Couto;FERRO;744
Avenida Dona Laura Monteiro Maricouto;FERRO;745
CM 1037;FERRO;746
Estrada Municipal 506;FERRO;747
Estrada Municipal 506-1;FERRO;748
Estrada Nacional 18;FERRO;749
Estrada Nacional 18-4;FERRO;750
Nó de acesso A23;FERRO;751
Ponte Pedrinha;FERRO;752
Rua 25 de Abril;FERRO;753
Rua Coração de Maria;FERRO;754
Rua da Cancela;FERRO;755
Rua da Estalagem;FERRO;756
Rua da Fonte;FERRO;757
Rua da Igreja;FERRO;758
Rua das Quintas;FERRO;759
Rua do Adro;FERRO;760
Rua do Bairro da Cruz;FERRO;761
Rua do Cebolal;FERRO;762
Rua do Cebolal;FERRO;763
Rua do Chafariz Novo;FERRO;764
Rua do Espirito Santo;FERRO;765
Rua do Loteamento da Barronceira;FERRO;766
Rua do Mártir São João;FERRO;767
Rua do Outeiro;FERRO;768
Rua do Serrado;FERRO;769
Rua do Sitio da Barronceira;FERRO;770
Rua Dom Zeca Gonçalves;FERRO;771
Rua dos Soutos;FERRO;772
Rua Doutor Carlos Coelho;FERRO;773
Rua Doutor Duarte Simões;FERRO;774
Rua Doutor Oliveira Dias;FERRO;775
Travessa do Bairro da Cruz;FERRO;776
Travessa do Espirito Santo;FERRO;777
A23 - Autoestrada da Beira Interior;ORJAIS;778
Acesso a propriedade agrícola/florestal;ORJAIS;779
Avenida da Igreja;ORJAIS;780
Caminho da Ribeira dos Poucos;ORJAIS;781
Estrada Nacional 18;ORJAIS;782
Largo da Amoreira;ORJAIS;783
Largo da Fonte de Cima;ORJAIS;784
Largo da Igreja;ORJAIS;785
Quelha da Fonte da Prata;ORJAIS;786
Quinta da Mourata;ORJAIS;787
Rua da Barquinha;ORJAIS;788
Rua da Cerdeira;ORJAIS;789
Rua da Cruz;ORJAIS;790
Rua da Fonte da Prata;ORJAIS;791
Rua da Fonte de Cima;ORJAIS;792
Rua da Quinta do Chão Grande;ORJAIS;793
Rua da Quinta dos Plames;ORJAIS;794
Rua da Republica;ORJAIS;795
Rua das Lages;ORJAIS;796
Rua Direita;ORJAIS;797
Rua do Bairro da Cerdeira;ORJAIS;798
Rua do Bairro do Brejo;ORJAIS;799
Rua do Bairro dos Farinheiros;ORJAIS;800
Rua do Cabeço das Vinhas;ORJAIS;801
Rua do Lombardo;ORJAIS;802
Rua do Outeiro;ORJAIS;803
Rua do Quebra Costas;ORJAIS;804
Rua do Regatinho;ORJAIS;805
Rua do Sitio da Acorda;ORJAIS;806
Travessa da Cancelinha;ORJAIS;807
Travessa da Fonte da Prata;ORJAIS;808
Travessa da Fonte Velha;ORJAIS;809
Travessa do Outeiro;ORJAIS;810
Acesso a propriedade agrícola/florestal;PAUL;811
Avenida Padre José Santiago;PAUL;812
Avenida Padre José Santiago;PAUL;813
Bairro da Reboleirada;PAUL;814
Bairro do Pisão;PAUL;815
EM 510;PAUL;816
Estrada de Casegas;PAUL;817
Estrada do Santuário;PAUL;818
Estrada do Santuário;PAUL;819
Estrada Municipal 512;PAUL;820
Estrada Nacional 230;PAUL;821
Largo do Mercado;PAUL;822
Largo Dr. Carlos Coelho;PAUL;823
Primeira Travessa do Fundo do Povo;PAUL;824
Rua 8 de Janeiro;PAUL;825
Rua Chão do Forno;PAUL;826
Rua Cimo do Lugar;PAUL;827
Rua da Barroquinha;PAUL;828
Rua da Carreira;PAUL;829
Rua da Carvalha;PAUL;830
Rua da Eira;PAUL;831
Rua da Fonte do Concelho;PAUL;832
Rua da Fontinha;PAUL;833
Rua da Igreja;PAUL;834
Rua da Lameira;PAUL;835
Rua da Marinheira;PAUL;836
Rua da Pinha;PAUL;837
Rua da Ponte;PAUL;838
Rua da Portela;PAUL;839
Rua da Praça;PAUL;840
Rua da Quelhinha;PAUL;841
Rua da Ramila;PAUL;842
Rua das Escolas;PAUL;843
Rua das Flores;PAUL;844
Rua das Lages;PAUL;845
Rua das Malhadas;PAUL;846
Rua das Quelhas;PAUL;847
Rua de Cima;PAUL;848
Rua do Campo da Bola;PAUL;849
Rua do Cato;PAUL;850
Rua do Curral;PAUL;851
Rua do Esprito Santo;PAUL;852
Rua do Lameiro da Fonte;PAUL;853
Rua do Mercado;PAUL;854
Rua do Pisão;PAUL;855
Rua do Quebra-Costas;PAUL;856
Rua do Sumagral;PAUL;857
Rua do Vale;PAUL;858
Rua dos Olivais;PAUL;859
Rua dos Prados;PAUL;860
Rua dos Prados da Fontinha;PAUL;861
Rua Doutor José Carvalho;PAUL;862
Rua Fundo do Povo;PAUL;863
Rua Jogo da Bola;PAUL;864
Rua Nova;PAUL;865
Rua Nova da Ribeira;PAUL;866
Rua Ribeiro do Fojo;PAUL;867
Rua Souto da Serra;PAUL;868
Rua Vale do Moinho;PAUL;869
Santuário Nossa Senhora dos;PAUL;870
Segunda Travessa do Fundo do Povo;PAUL;871
Travessa da Lameira;PAUL;872
Travessa da Ramila;PAUL;873
Travessa da Rua Machado;PAUL;874
Travessa das Quelhas;PAUL;875
Travessa de Cima;PAUL;876
Travessa do Esprito Santo;PAUL;877
Travessa do Ribeiro do Fojo;PAUL;878
Travessa Doutor José Carvalho;PAUL;879
Urbanização do Serrado;PAUL;880
A23 - Autoestrada da Beira Interior;PERABOA;881
Acesso a propriedade agrícola/florestal;PERABOA;882
CM 1204;PERABOA;883
Estrada Municipal 506;PERABOA;884
Estrada Nacional 345;PERABOA;885
Largo do Sitio da Peraboa;PERABOA;886
Rua 5 de Outubro;PERABOA;887
Rua da Achadinha;PERABOA;888
Rua da Barronceira;PERABOA;889
Rua da Fonte Velha;PERABOA;890
Rua da Igreja;PERABOA;891
Rua da Lameira;PERABOA;892
Rua da Portela;PERABOA;893
Rua da Tapada;PERABOA;894
Rua das Almas;PERABOA;895
Rua das Lages;PERABOA;896
Rua de São Marcos;PERABOA;897
Rua Direita;PERABOA;898
Rua do Bairro da Abelheira;PERABOA;899
Rua do Chafariz;PERABOA;900
Rua do Espirito Santo;PERABOA;901
Rua do Ladrilho;PERABOA;902
Rua do Pecalvo;PERABOA;903
Rua do Salgueirinho;PERABOA;904
Rua do Serrado;PERABOA;905
Rua do Vale;PERABOA;906
Rua dos Casalinhos;PERABOA;907
Rua dos Laijoes;PERABOA;908
Rua Família Lobo de Vasconcelos;PERABOA;909
Rua Santa Ana;PERABOA;910
Transversal a Rua da Lameira;PERABOA;911
Transversal a Rua de São Marcos;PERABOA;912
Travessa da Tapada da Fonte;PERABOA;913
Travessa das Almas;PERABOA;914
Travessa do Chafariz;PERABOA;915
Travessa do Jogo da Bola;PERABOA;916
Acesso a propriedade agrícola/florestal;PESO E VALES DO RIO;917
Avenida Aníbal José Pereira Casteleiro;PESO E VALES DO RIO;918
Beco da Rua Nova;PESO E VALES DO RIO;919
Estrada Municipal 513;PESO E VALES DO RIO;920
Largo da Santa Maria Madalena;PESO E VALES DO RIO;921
Rua 9 de Julho;PESO E VALES DO RIO;922
Rua Barroca do Bicho;PESO E VALES DO RIO;923
Rua da Canada;PESO E VALES DO RIO;924
Rua da Cura;PESO E VALES DO RIO;925
Rua da Eira;PESO E VALES DO RIO;926
Rua da Ladeira;PESO E VALES DO RIO;927
Rua da Lomba;PESO E VALES DO RIO;928
Rua da Pedra da Seixinha;PESO E VALES DO RIO;929
Rua das Escolas;PESO E VALES DO RIO;930
Rua das Moitas;PESO E VALES DO RIO;931
Rua das Roseiras;PESO E VALES DO RIO;932
Rua de Santo António;PESO E VALES DO RIO;933
Rua de São João;PESO E VALES DO RIO;934
Rua de São Miguel;PESO E VALES DO RIO;935
Rua Direita;PESO E VALES DO RIO;936
Rua do Barroco;PESO E VALES DO RIO;937
Rua do Caminho do Verde;PESO E VALES DO RIO;938
Rua do Campo das Festas;PESO E VALES DO RIO;939
Rua do Carvalhal;PESO E VALES DO RIO;940
Rua do Chão das Moitas;PESO E VALES DO RIO;941
Rua do Loureiro;PESO E VALES DO RIO;942
Rua do Menino Jesus;PESO E VALES DO RIO;943
Rua do Outeiro;PESO E VALES DO RIO;944
Rua do Poço Negro;PESO E VALES DO RIO;945
Rua do Polidesportivo;PESO E VALES DO RIO;946
Rua do Regato;PESO E VALES DO RIO;947
Rua do Serrado;PESO E VALES DO RIO;948
Rua do Sitio do Carvalho Alto;PESO E VALES DO RIO;949
Rua do Sitio do Carvalho Baixo;PESO E VALES DO RIO;950
Rua dos Olivais;PESO E VALES DO RIO;951
Rua dos Valinhos;PESO E VALES DO RIO;952
Rua José Bernardo da Cunha Matos;PESO E VALES DO RIO;953
Rua Nave de Cima;PESO E VALES DO RIO;954
Rua Nova;PESO E VALES DO RIO;955
Rua Rego da Feiteira;PESO E VALES DO RIO;956
Rua Ribeiro da Fonte;PESO E VALES DO RIO;957
Rua Santa Maria Madalena;PESO E VALES DO RIO;958
Rua Sargento José Paulo dos Santos;PESO E VALES DO RIO;959
Rua Soldado Manuel Alfredo Aleixo;PESO E VALES DO RIO;960
Rua Vale de Ilhós;PESO E VALES DO RIO;961
Travessa da Fonte;PESO E VALES DO RIO;962
Travessa da Rua da Ladeira;PESO E VALES DO RIO;963
Travessa da Rua de Santo António;PESO E VALES DO RIO;964
Travessa da Rua Direita;PESO E VALES DO RIO;965
Travessa da Rua do Regato;PESO E VALES DO RIO;966
Travessa da Rua Nova;PESO E VALES DO RIO;967
Travessa das Pereiras;PESO E VALES DO RIO;968
Travessa de São João;PESO E VALES DO RIO;969
Travessa do Jogo da Bola;PESO E VALES DO RIO;970
Travessa do Terreiro;PESO E VALES DO RIO;971
Acesso a Estacionamento/ Garagens;SÃO JORGE DA BEIRA;972
Acesso a propriedade;SÃO JORGE DA BEIRA;973
Acesso a propriedade agrícola/florestal;SÃO JORGE DA BEIRA;974
Bairro dos Torgais;SÃO JORGE DA BEIRA;975
Estrada Municipal 1374;SÃO JORGE DA BEIRA;976
Estrada Municipal 512;SÃO JORGE DA BEIRA;977
Largo da Amoreira;SÃO JORGE DA BEIRA;978
Largo do Terreiro;SÃO JORGE DA BEIRA;979
Rua Bairro dos Torgais;SÃO JORGE DA BEIRA;980
Rua da Costa;SÃO JORGE DA BEIRA;981
Rua da Fonte;SÃO JORGE DA BEIRA;982
Rua da Ponte;SÃO JORGE DA BEIRA;983
Rua da Tapada;SÃO JORGE DA BEIRA;984
Rua das Escolas;SÃO JORGE DA BEIRA;985
Rua Direita;SÃO JORGE DA BEIRA;986
Rua Direita do Pombal;SÃO JORGE DA BEIRA;987
Rua do Bairro do Pombal;SÃO JORGE DA BEIRA;988
Rua do Bairro dos Torgais;SÃO JORGE DA BEIRA;989
Rua do Cemitério;SÃO JORGE DA BEIRA;990
Rua do Corredouro;SÃO JORGE DA BEIRA;991
Rua do Forno;SÃO JORGE DA BEIRA;992
Rua do Porto;SÃO JORGE DA BEIRA;993
Rua do Quebra Costas;SÃO JORGE DA BEIRA;994
Rua do Tornadouro;SÃO JORGE DA BEIRA;995
Rua dos Castanheiros;SÃO JORGE DA BEIRA;996
Rua Nossa Senhora da Guia;SÃO JORGE DA BEIRA;997
Rua Nossa Senhora de Fátima;SÃO JORGE DA BEIRA;998
Rua Nova da Igreja;SÃO JORGE DA BEIRA;999
Travessa da Rua do Quebra Costas;SÃO JORGE DA BEIRA;1000
Acesso a propriedade agrícola/florestal;SOBRAL DE SÃO MIGUEL;1001
Bairro do Caratão;SOBRAL DE SÃO MIGUEL;1002
Estrada do Campo da Bola;SOBRAL DE SÃO MIGUEL;1003
Estrada Municipal 511;SOBRAL DE SÃO MIGUEL;1004
Rua da Lage;SOBRAL DE SÃO MIGUEL;1005
Rua da Marrada;SOBRAL DE SÃO MIGUEL;1006
Rua da Ponte;SOBRAL DE SÃO MIGUEL;1007
Rua da Portela;SOBRAL DE SÃO MIGUEL;1008
Rua da Quelha do Vale;SOBRAL DE SÃO MIGUEL;1009
Rua da Vinha;SOBRAL DE SÃO MIGUEL;1010
Rua das Ladeiras;SOBRAL DE SÃO MIGUEL;1011
Rua do Adro;SOBRAL DE SÃO MIGUEL;1012
Rua do Bairro da Carrasqueira;SOBRAL DE SÃO MIGUEL;1013
Rua do Bairro da Eira;SOBRAL DE SÃO MIGUEL;1014
Rua do Barreiro;SOBRAL DE SÃO MIGUEL;1015
Rua do Fundo do Lugar;SOBRAL DE SÃO MIGUEL;1016
Rua do Outeiro;SOBRAL DE SÃO MIGUEL;1017
Rua do Ribeiro;SOBRAL DE SÃO MIGUEL;1018
Rua do Vale;SOBRAL DE SÃO MIGUEL;1019
Rua do Vale da Cavada;SOBRAL DE SÃO MIGUEL;1020
Rua dos Sobreiros;SOBRAL DE SÃO MIGUEL;1021
Rua Padre Jaime Pinto Pereira;SOBRAL DE SÃO MIGUEL;1022
Travessa do Barreiro;SOBRAL DE SÃO MIGUEL;1023
A23 - Autoestrada da Beira Interior;TEIXOSO E SARZEDO;1024
Acesso a EN18;TEIXOSO E SARZEDO;1025
Acesso a propriedade agrícola/florestal;TEIXOSO E SARZEDO;1026
Avenida 25 de Abril;TEIXOSO E SARZEDO;1027
Avenida 8 de Março;TEIXOSO E SARZEDO;1028
Avenida de São Salvador;TEIXOSO E SARZEDO;1029
Avenida Maia Campos;TEIXOSO E SARZEDO;1030
Caminho da Ribeira dos Poucos;TEIXOSO E SARZEDO;1031
CM 1014;TEIXOSO E SARZEDO;1032
Complexo Habitacional das Nogueiras;TEIXOSO E SARZEDO;1033
Eixo Teixoso-Covilhã-Tortosendo;TEIXOSO E SARZEDO;1034
Estrada de Teixoso a Vila do Carvalho;TEIXOSO E SARZEDO;1035
Estrada do Chão da Vila;TEIXOSO E SARZEDO;1036
Estrada do Terlamente;TEIXOSO E SARZEDO;1037
Estrada Municipal 501;TEIXOSO E SARZEDO;1038
Estrada Nacional 18;TEIXOSO E SARZEDO;1039
Estrada Nacional 18-3;TEIXOSO E SARZEDO;1040
Largo de Santo António;TEIXOSO E SARZEDO;1041
Quinta da Ponte Terra;TEIXOSO E SARZEDO;1042
Rotunda;TEIXOSO E SARZEDO;1043
Rua 5 de Outubro;TEIXOSO E SARZEDO;1044
Rua António Pina Calado;TEIXOSO E SARZEDO;1045
